alert,commit,repo_name,file_name_x,is_clean,is_refactor,is_refactor_label,is_clean_label,added_functions_label,comment
too-many-branches,4106bd35d2c8bd8cf66dff5427d2c7349dc8f45c,CanalTP/navitia,source/jormungandr/jormungandr/scenarios/helper_classes/fallback_durations.py,TRUE,8,,,,duplicated
too-many-branches,f6fa9813c3d18e7d1986cf8a2f0aaa1249ce5d21,EducationalTestingService/rsmtool,rsmtool/writer.py,TRUE,1,TRUE,FALSE,TRUE,
too-many-branches,dc2d39b66f9b46d49d056a8e9afffb49af606595,GoogleCloudPlatform/gcpdiag,gcpdiag/lint/command.py,TRUE,2,TRUE,FALSE,TRUE,
too-many-branches,5c9ba6da30019fc209f8b42259bdbe0f4fd32b3f,HumanCompatibleAI/imitation,src/imitation/algorithms/bc.py,TRUE,17,TRUE,FALSE,TRUE,
too-many-branches,da0c4dc4213bade7f5f7c277ce718319f4a0901b,Maselkov/GW2Bot,guildwars2/commerce.py,TRUE,1,TRUE,FALSE,TRUE,
too-many-branches,da0c4dc4213bade7f5f7c277ce718319f4a0901b,Maselkov/GW2Bot,guildwars2/wallet.py,TRUE,1,TRUE,FALSE,TRUE,
too-many-branches,89f712275574dd19807f3fc50b8502b0ebcf9664,NaturalHistoryMuseum/ckanext-nhm,ckanext/nhm/routes/record.py,TRUE,2,,,,
too-many-branches,cb5b7a85259ab35f1ecde720089b273ed96cdc09,NeuralEnsemble/python-neo,neo/rawio/spikeglxrawio.py,TRUE,1,,,,
too-many-branches,140afa7baa5c0feed803ad22e0fa3919f166c07d,Neutree/COMTool,COMTool/Main.py,TRUE,12,,,,
too-many-branches,8036f7d6eac1e5a16e86fb14ff11c2fc39fefe84,PMEAL/OpenPNM,openpnm/core/_models.py,TRUE,1,,,,
too-many-branches,d3c763285343a307f204e5e5fe5ffabbf070f73c,PyCQA/pylint,pylint/utils/file_state.py,TRUE,1,,,,
too-many-branches,69ec80f641366fc1c80fed9bcfff0d283905e6ef,SasView/sasmodels,sasmodels/data.py,TRUE,1,,,,
too-many-branches,9d70932f0a036297ae0371e58a6ab4edd06a3541,SasView/sasmodels,sasmodels/data.py,TRUE,1,,,,
too-many-branches,d7c24f8bea29fd161b600a2a78751cda06af163a,Ultimaker/Cura,plugins/RemovableDriveOutputDevice/RemovableDriveOutputDevice.py,FALSE,1,,,,
too-many-branches,1dd4ebfcba81042182d21b339497b97c490266b2,acorg/dark-matter,dark/consensus.py,TRUE,2,,,,
too-many-branches,e20d18eb697c3158e9a6194c77b6ce11c8c72982,acorg/dark-matter,dark/consensus.py,TRUE,1,,,,
too-many-branches,c77636a76d68ffa1bc7dbd41edc522e523b909b8,acq4/acq4,acq4/modules/DataManager/FileInfoView.py,TRUE,24,,,,
too-many-branches,951c23d29459023b44ef1154811c20537552a2cc,adbar/htmldate,htmldate/utils.py,TRUE,1,,,,
too-many-branches,ff97c2fd5c45149579686f293123b98d3cbd13aa,aiven/aiven-client,aiven/client/argx.py,TRUE,1,,,,
too-many-branches,f257b6bc888ae25afafaab00541fa548d4d5e397,akrherz/pyIEM,src/pyiem/windrose_utils.py,TRUE,1,,,,
too-many-branches,e8d8ff76a14ceadabfca6666fd2f00f0740fa05b,all-of-us/raw-data-repository,rdr_service/resource/generators/consent_metrics.py,TRUE,6,,,,
too-many-branches,cc7922efc204cb3b2950139969004be6ccf0bdae,awslabs/sockeye,sockeye/model.py,TRUE,5,,,,
too-many-branches,4e4313df6ae7011f6adef3f10f50d594879e040e,benvanwerkhoven/kernel_tuner,kernel_tuner/strategies/hillclimbers.py,TRUE,2,,,,
too-many-branches,53b5f4458cfa4f3b23b3256a6ee16e99addbeeba,biorack/metatlas,metatlas/io/file_converter.py,TRUE,5,,,,
too-many-branches,e11af341069e5a822d855f9ff808ef288e624b99,bundlewrap/bundlewrap,bundlewrap/metadata.py,TRUE,1,,,,
too-many-branches,78b720c5e2c409d6a8c2aa2f34dcb77b5f3ba225,candlepin/subscription-manager,src/subscription_manager/cli_command/status.py,TRUE,4,,,,
too-many-branches,e999681ef89091d15a27b9dc74ae24b799db282a,catapult-project/catapult,dashboard/dashboard/pinpoint/models/quest/read_value.py,TRUE,3,,,,
too-many-branches,d03d0cc602b5c6b3be4df8d71594ac5623e1383c,climu/openstudyroom,fullcalendar/views.py,TRUE,2,,,,
