LOC,LLOC,SLOC,Multi,N1,N2,McCabe_max,McCabe_sum,path
103,64,80,0,13,23,15.0,15.0,frontend\demo_light\pages_util\CreateNewArticle.py
1b[0m,b[0m,b[0m,[0m,x1b[0m,x1b[0m,,,examples\helper\process_kaggle_arxiv_abstract_dataset.py
60,41,47,0,7,14,11.0,11.0,frontend\demo_light\storm.py
