LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_max,McCabe_sum,path
237,106,209,0,0,0,28,1,2,1,2,3,3,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,3,15,python\g1\operations\cores\g1\operations\cores\pod_cmds.py
554,311,442,20,17,14,81,14,89,58,114,103,172,629.6432442648158,1150.0780906755135,8.96629213483146,10311.93613886584,572.8853410481022,0.38335936355850453,12,78,python\g1\operations\cores\g1\operations\cores\alerts.py
132,71,117,0,1,0,14,1,8,7,14,9,21,24.0,66.56842503028857,0.875,58.2473719015025,3.2359651056390275,0.022189475010096188,10,21,shipyard2\shipyard2\releases\apps.py
718,362,467,20,23,67,161,6,68,37,75,74,112,429.45724820935004,695.4587769504425,3.3088235294117645,2301.150364909552,127.84168693941956,0.23181959231681415,17,138,python\g1\third-party\capnp\capnp\objects.py
492,232,310,35,24,64,94,7,38,22,43,45,65,219.07272996525947,356.9704512614289,3.960526315789474,1413.7908661801328,78.54393701000737,0.1189901504204763,13,61,python\g1\apps\g1\apps\parameters.py
66,30,44,0,1,7,14,4,10,6,12,14,18,41.219280948873624,68.53238859703687,2.4,164.4777326328885,9.13765181293825,0.022844129532345624,3,3,python\g1\bases\g1\bases\dataclasses.py
247,163,223,2,3,0,21,3,29,24,47,32,71,145.63633636086306,355.0,2.4310344827586206,863.0172413793103,47.945402298850574,0.11833333333333333,12,37,python\g1\containers\g1\containers\apps.py
560,195,443,39,20,12,85,9,73,49,97,82,146,480.38651781122206,928.2025926742403,5.97945205479452,5550.1429000315875,308.34127222397706,0.3094008642247468,6,54,python\g1\containers\g1\containers\builders.py
277,132,254,2,2,0,21,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034,3,15,python\g1\operations\cores\g1\operations\cores\token_cmds.py
312,229,235,16,16,7,54,10,45,35,64,55,99,280.35267028370896,572.3546116389414,7.111111111111111,4070.0772383213607,226.1154021289645,0.1907848705463138,10,66,python\g1\http\clients\g1\http\clients\recvfiles.py
334,156,230,11,11,32,61,5,34,21,41,39,62,184.58337707694838,327.6949375694594,3.014705882352941,987.903855907929,54.883547550440504,0.10923164585648647,26,81,python\g1\messaging\g1\messaging\wiredata\jsons.py
50,33,41,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,4,python\g1\operations\cores\g1\operations\cores\apps.py
714,462,533,65,66,13,102,17,116,87,158,133,245,865.012663736054,1728.5441966977914,11.577586206896552,20012.36944969943,1111.7983027610794,0.5761813988992638,12,159,python\g1\http\servers\g1\http\servers\wsgi.py
387,216,275,36,31,0,81,6,23,19,28,29,47,119.55169999363824,228.32510677099592,3.652173913043478,833.8829986418981,46.32683325788323,0.0761083689236653,11,84,python\g1\third-party\capnp\capnp\dynamics.py
463,273,316,19,18,0,129,5,15,9,15,20,24,70.2129994085646,103.72627427729671,2.5,259.3156856932418,14.406426982957877,0.0345754247590989,6,70,python\g1\third-party\capnp\capnp\schemas.py
