LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_max,McCabe_sum,path
40,31,33,5,5,0,2,2,11,6,12,13,18,40.053747805010275,66.60791492653966,1.0909090909090908,72.66317991986145,4.036843328881192,0.022202638308846556,6.0,6.0,jarviscli\plugins\website_status.py
257,160,181,40,39,7,30,8,39,26,43,47,69,230.1306865356277,383.266630765757,4.410256410256411,1690.3041151720565,93.90578417622537,0.12775554358858565,12.0,42.0,jarviscli\plugins\history.py
73,56,57,0,3,6,7,3,17,9,18,20,27,74.24175580341925,116.69205856195879,1.588235294117647,185.3344459513463,10.296358108408128,0.03889735285398626,7.0,21.0,jarviscli\plugins\wiki.py
86,61,63,5,5,0,18,5,34,24,48,39,72,184.58337707694838,380.5489597580819,3.5294117647058822,1343.1139756167595,74.61744308981997,0.12684965325269396,6.0,14.0,jarviscli\plugins\get_host_info.py
82,51,50,3,3,16,13,4,16,9,19,20,28,72.0,121.01398665684616,2.375,287.4082183100096,15.967123239444978,0.040337995552282055,9.0,18.0,jarviscli\plugins\pdftoimg.py
231,120,134,0,0,73,24,8,46,38,69,54,107,278.0838499786226,615.7729627314912,6.0,3694.6377763889477,205.25765424383042,0.2052576542438304,5.0,39.0,jarviscli\plugins\wifi_password_getter.py
54,44,46,0,0,3,5,4,32,18,36,36,54,168.0,279.17595007788486,2.25,628.1458876752409,34.89699375973561,0.09305865002596161,4.0,12.0,jarviscli\plugins\weather_report.py
153,124,121,0,0,24,8,9,38,31,61,47,92,227.95057052383706,511.02217435434267,7.223684210526316,3691.462812112291,205.08126733957172,0.17034072478478088,17.0,39.0,jarviscli\plugins\bmi.py
53,33,34,1,1,6,12,1,5,3,6,6,9,11.60964047443681,23.264662506490403,0.6,13.95879750389424,0.7754887502163467,0.007754887502163467,2.0,8.0,jarviscli\plugins\ip.py
24,20,20,0,0,0,4,3,5,4,6,8,10,16.36452797660028,30.0,1.8,54.0,3.0,0.01,4.0,5.0,jarviscli\plugins\upside_down.py
14,11,11,0,0,0,3,2,7,4,8,9,12,21.651484454403228,38.03910001730775,1.1428571428571428,43.47325716263743,2.415180953479857,0.012679700005769252,2.0,2.0,jarviscli\plugins\open.py
114,63,54,0,3,35,22,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,2.0,11.0,jarviscli\plugins\converted.py
76,51,48,0,0,15,13,3,16,11,22,19,33,68.75488750216347,140.1816079436383,2.0625,289.12456638375403,16.06247591020856,0.04672720264787944,5.0,16.0,jarviscli\plugins\currency_conv.py
92,65,77,2,2,0,13,7,21,18,34,28,52,111.8901503327572,249.9824559469954,5.666666666666667,1416.5672503663072,78.69818057590595,0.08332748531566514,6.0,6.0,installer\steps\e_launcher.py
264,226,225,16,7,0,32,12,117,90,173,129,263,846.8522221999121,1843.9527681763159,8.871794871794872,16359.170712538598,908.8428173632554,0.6146509227254386,18.0,52.0,jarviscli\plugins\blackjack.py
593,466,429,60,60,20,84,15,453,314,624,468,938,4055.588718675073,8320.402106969234,10.331125827814569,85959.1211051126,4775.506728061811,2.7734673689897447,21.0,171.0,jarviscli\plugins\mips_conv.py
8,6,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,installer\steps\b_pip.py
203,86,155,17,17,7,24,9,61,35,70,70,105,390.3043026043169,643.5747167792216,5.163934426229508,3323.377635827128,184.63209087928487,0.21452490559307386,8.0,21.0,jarviscli\plugins\moon_phase.py
111,75,74,11,11,3,23,6,19,13,24,25,37,96.22039775975506,171.8226790216648,3.789473684210526,651.1175205031508,36.173195583508374,0.057274226340554936,6.0,30.0,jarviscli\plugins\file_manager.py
55,47,49,0,0,0,6,4,11,6,12,15,18,46.053747805010275,70.32403072095333,2.1818181818181817,153.43424884571635,8.52412493587313,0.02344134357365111,5.0,13.0,jarviscli\packages\weather_pinpoint.py
103,78,85,4,4,3,11,9,62,41,82,71,123,397.6894962569671,756.418895699076,5.951612903225806,4501.9124598864355,250.10624777146865,0.25213963189969196,18.0,18.0,jarviscli\plugins\bmr.py
93,70,70,1,1,3,19,8,28,17,34,36,51,158.6059378176129,263.6661750735579,4.857142857142857,1280.6642789287096,71.14801549603942,0.0878887250245193,8.0,18.0,jarviscli\plugins\dictionary.py
123,107,108,0,0,0,15,4,33,29,54,37,83,174.46500593882897,432.38462934720286,3.272727272727273,1415.076968772664,78.6153871540369,0.14412820978240096,23.0,42.0,jarviscli\plugins\flightradar.py
229,160,152,5,8,40,29,9,51,27,53,60,80,317.8230174535271,472.5512476486815,4.676470588235294,2209.872011062952,122.77066728127511,0.1575170825495605,6.0,70.0,jarviscli\plugins\yeelight.py
102,86,86,2,0,0,16,12,40,43,85,52,128,255.89667380414838,729.6562839220599,12.75,9303.117620006264,516.8398677781257,0.2432187613073533,12.0,29.0,jarviscli\plugins\guess_number_game.py
190,146,144,1,5,23,18,13,55,44,86,68,130,366.08050057969047,791.3701693625442,10.163636363636364,8043.198630430222,446.84436835723454,0.2637900564541814,14.0,50.0,jarviscli\utilities\textParser.py
63,43,48,5,5,0,10,7,22,14,26,29,40,117.75898006442377,194.3192398051029,4.136363636363637,803.775037375653,44.65416874309184,0.0647730799350343,6.0,17.0,jarviscli\plugins\check_if_game_runs_on_linux.py
