LOC,LLOC,SLOC,N1,N2,McCabe_max,McCabe_sum,path
350,259,292,47,83,13,115,src\rinoh\font\type1.py
1148,787,818,128,241,16,365,src\rinoh\style.py
447,206,371,43,86,13,87,src\rinoh\font\opentype\required.py
476,320,348,39,77,11,147,src\rinoh\reference.py
618,460,474,60,112,11,223,src\rinoh\attribute.py
393,242,325,22,41,16,70,src\rinoh\__main__.py
422,250,300,55,106,18,118,src\rinoh\image.py
203,125,151,39,76,12,71,src\rinoh\font\opentype\cff.py
477,356,356,80,151,11,184,src\rinoh\backend\pdf\filter.py
656,455,492,121,240,36,265,src\rinoh\table.py
3063,1643,1643,627,1203,34,573,src\rinoh\backend\pdf\xobject\purepng.py
909,580,647,110,205,21,240,src\rinoh\flowable.py
3971,18,3954,2,3,5,5,src\rinoh\font\mapping.py
1298,866,946,138,256,22,364,src\rinoh\paragraph.py
557,469,473,109,207,15,181,src\rinoh\backend\pdf\reader.py
