repo_name,file,size
niklasf/python-chess,chess\__init__.py,14
coreruleset/coreruleset,util\crs-rules-check\rules-check.py,14
coreruleset/coreruleset,util\change-version\change-version.py,20
bl4de/security-tools,hasher.py,14
bl4de/security-tools,virustotal.py,14
bl4de/security-tools,denumerator\denumerator.py,75
bl4de/security-tools,xmlrpc_amplif_bruteforce.py,26
bl4de/security-tools,redir_gen\redirgen.py,16
bl4de/security-tools,ip_generator.py,14
bl4de/security-tools,Vi\vi.py,21
bl4de/security-tools,hexview\hexview.py,19
bl4de/security-tools,diggit\diggit.py,25
pallets/itsdangerous,src\itsdangerous\timed.py,22
pallets/itsdangerous,src\itsdangerous\signer.py,29
alejandroautalan/pygubu,src\pygubu\component\plugin_engine.py,23
alejandroautalan/pygubu,src\pygubu\plugins\awesometkinter\designer\properties.py,25
alejandroautalan/pygubu,src\pygubu\plugins\tkintertable\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tksheet\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\awesometkinter\__init__.py,14
alejandroautalan/pygubu,src\pygubu\theming\photodraw.py,291
alejandroautalan/pygubu,src\pygubu\widgets\dockfw\dockframe.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tkcalendar\basecalendar.py,15
alejandroautalan/pygubu,src\pygubu\plugins\tkmt\designer\properties.py,15
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\font.py,25
alejandroautalan/pygubu,src\pygubu\plugins\ttk\ttkstdwidgets.py,15
alejandroautalan/pygubu,src\pygubu\widgets\dockfw\framework.py,53
alejandroautalan/pygubu,src\pygubu\builder.py,29
alejandroautalan/pygubu,src\pygubu\plugins\tkmt\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\itemscanvas.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tkcalendar\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tkintermapview\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\customtkinter\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\utils.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\table.py,15
alejandroautalan/pygubu,src\pygubu\plugins\tkinterweb\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\pygubu\designer\properties.py,15
alejandroautalan/pygubu,src\pygubu\plugins\pygubu\designer\basehelpers.py,118
alejandroautalan/pygubu,src\pygubu\component\uidefinition.py,59
alejandroautalan/pygubu,src\pygubu\theming\bootstrap\builder.py,14
alejandroautalan/pygubu,src\pygubu\component\builderobject.py,14
alejandroautalan/pygubu,src\pygubu\plugins\ttkwidgets\__init__.py,14
alejandroautalan/pygubu,src\pygubu\plugins\tk\tkstdwidgets.py,14
alejandroautalan/pygubu,src\pygubu\widgets\calendarframe.py,75
RNAcentral/rnacentral-import-pipeline,bin\litscan-retracted-articles.py,14
RNAcentral/rnacentral-import-pipeline,bin\litscan-create-xml-metadata.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\genome_mapping\blat.py,27
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\utils.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\evlncrnas\lookup.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\psi_mi\tab.py,13
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\evlncrnas\parser.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\mgnify\prepare.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\plncdb\parser.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\hgnc\helpers.py,14
RNAcentral/rnacentral-import-pipeline,bin\litscan-get-statistics.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\cli\ensembl.py,16
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\r2dt\parser.py,14
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\genome_mapping\igv.py,14
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\europepmc\stream.py,14
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\databases\tmrna\helpers.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\precompute\utils.py,15
RNAcentral/rnacentral-import-pipeline,rnacentral_pipeline\rnacentral\search_export\compare.py,15
kianby/stacosys,src\stacosys\service\mail.py,22
clchiou/garage,python\g1\operations\cores\g1\operations\cores\pod_cmds.py,0
clchiou/garage,python\g1\operations\cores\g1\operations\cores\alerts.py,0
clchiou/garage,shipyard2\shipyard2\releases\apps.py,0
clchiou/garage,python\g1\third-party\capnp\capnp\objects.py,0
clchiou/garage,python\g1\apps\g1\apps\parameters.py,0
