path,msg_id,msg,repo_name
google/cloud/compute_v1/services/region_instance_groups/client.py,C0302,too-many-lines,googleapis/python-compute
flux_led/aiodevice.py,C0301,line-too-long,Danielhiversen/flux_led
scipy/optimize/_linprog.py,R0915,too-many-statements,scipy/scipy
python/friesian/example/dien/dien_preprocessing.py,W0401,wildcard-import,intel-analytics/BigDL
kitty/debug_config.py,R0912,too-many-branches,kovidgoyal/kitty
rook/main.py,W0718,broad-exception-caught,idaholab/raven
src/compas_rhino/utilities/drawing.py,C0302,too-many-lines,compas-dev/compas
desktop/01_csv_to_json.py,R0912,too-many-branches,cpn18/track-chart
desktop/01_csv_to_json.py,R0915,too-many-statements,cpn18/track-chart
fstd2nc/__main__.py,C0325,superfluous-parens,neishm/fstd2nc
src/DIRAC/Core/scripts/dirac_agent.py,C0301,line-too-long,DIRACGrid/DIRAC
confluent_server/confluent/certutil.py,C0301,line-too-long,xcat2/confluent
leprikon/admin/utils.py,C0301,line-too-long,leprikon-cz/leprikon
yledl/downloader.py,C0301,line-too-long,aajanki/yle-dl
hail/python/hail/ir/utils.py,R0911,too-many-return-statements,hail-is/hail
repour/asutil.py,R0912,too-many-branches,project-ncl/repour
pymatgen/symmetry/bandstructure.py,R0915,too-many-statements,materialsproject/pymatgen
google/cloud/dialogflowcx_v3/services/transition_route_groups/async_client.py,C0302,too-many-lines,googleapis/python-dialogflow-cx
python/orca/src/bigdl/orca/learn/tf2/tf_runner.py,W0401,wildcard-import,intel-analytics/BigDL
jax/_src/lax/windowed_reductions.py,R0915,too-many-statements,google/jax
jax/_src/ops/scatter.py,R0911,too-many-return-statements,google/jax
google/cloud/memcache_v1/services/cloud_memcache/async_client.py,C0302,too-many-lines,googleapis/python-memcache
src/streamlink_cli/main.py,R0911,too-many-return-statements,streamlink/streamlink
cloudify_types/cloudify_types/utils.py,R1719,simplifiable-if-expression,cloudify-cosmo/cloudify-manager
sdk/containerservice/azure-mgmt-containerservice/azure/mgmt/containerservice/v2017_07_01/models/_models_py3.py,C0302,too-many-lines,Azure/azure-sdk-for-python
