,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
mostly_delete,10.0,183.0,5.0,130.0,328.0,0.59,0.43,0.05,0.67,0.56,0.07,0.03,0.07,0.57,0.04,0.03,0.98,0.27,0.01,
high_ccp_group,50.0,156.0,32.0,90.0,328.0,0.63,0.43,0.25,0.61,0.43,0.36,0.17,0.29,0.54,0.17,0.1,0.98,0.81,0.03,
is_refactor,59.0,131.0,57.0,81.0,328.0,0.58,0.43,0.35,0.51,0.19,0.42,0.3,0.3,0.52,0.11,0.01,0.98,0.94,0.01,
massive_change,27.0,161.0,27.0,113.0,328.0,0.57,0.43,0.16,0.5,0.17,0.19,0.14,0.16,0.55,0.04,-0.0,0.98,0.65,0.0,
only_removal,13.0,173.0,15.0,127.0,328.0,0.57,0.43,0.09,0.46,0.09,0.09,0.08,0.08,0.56,0.01,-0.01,0.98,0.42,0.0,
too-many-statements,80.0,96.0,92.0,60.0,328.0,0.54,0.43,0.52,0.47,0.09,0.57,0.49,0.34,0.5,0.08,-0.06,0.98,1.0,0.0,
too-many-branches,41.0,139.0,49.0,99.0,328.0,0.55,0.43,0.27,0.46,0.07,0.29,0.26,0.22,0.53,0.03,-0.04,0.98,0.85,0.0,
too-many-nested-blocks,11.0,169.0,19.0,129.0,328.0,0.55,0.43,0.09,0.37,-0.14,0.08,0.1,0.07,0.56,-0.02,-0.04,0.98,0.44,0.0,
too-many-return-statements,8.0,160.0,28.0,132.0,328.0,0.51,0.43,0.11,0.22,-0.48,0.06,0.15,0.05,0.56,-0.08,-0.11,0.98,0.5,0.02,
cur_count,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
effort_diff,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
cur_count_y,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
bugs_diff,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
calculated_length_diff,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
cur_count_x,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
volume_diff,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
difficulty_diff,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
time_diff,0.0,188.0,0.0,140.0,328.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,-0.0,-0.0,0.98,0.0,-0.0,
