model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,14.0,57.0,4.0,24.0,99.0,0.72,0.38,0.18,0.78,1.03,0.37,0.07,0.33,0.57,0.25,0.16,0.96,0.68,0.1,
Tree_default,25.0,48.0,13.0,13.0,99.0,0.74,0.38,0.38,0.66,0.71,0.66,0.21,0.49,0.53,0.4,0.2,0.96,0.96,0.14,
Tree_ms50,18.0,57.0,4.0,20.0,99.0,0.76,0.38,0.22,0.82,1.13,0.47,0.07,0.43,0.56,0.34,0.23,0.96,0.76,0.17,
Tree_md3,14.0,56.0,5.0,24.0,99.0,0.71,0.38,0.19,0.74,0.92,0.37,0.08,0.33,0.57,0.24,0.15,0.96,0.71,0.09,
RandomForest,21.0,40.0,21.0,17.0,99.0,0.62,0.38,0.42,0.5,0.3,0.55,0.34,0.36,0.52,0.19,0.0,0.96,0.98,0.03,
AdaBoost,21.0,49.0,12.0,17.0,99.0,0.71,0.38,0.33,0.64,0.66,0.55,0.2,0.42,0.54,0.31,0.15,0.96,0.92,0.1,
AdaBoost_n_small,17.0,50.0,11.0,21.0,99.0,0.68,0.38,0.28,0.61,0.58,0.45,0.18,0.35,0.55,0.23,0.1,0.96,0.86,0.06,
GradientBoostingClassifier,27.0,43.0,18.0,11.0,99.0,0.71,0.38,0.45,0.6,0.56,0.71,0.3,0.48,0.51,0.38,0.15,0.96,0.99,0.12,
Stump,0.0,61.0,0.0,38.0,99.0,0.62,0.38,0.0,0.0,-1.0,0.0,0.0,0.0,0.62,0.0,0.0,0.96,0.0,0.0,
LogisticRegression,11.0,61.0,0.0,27.0,99.0,0.73,0.38,0.11,1.0,1.61,0.29,0.0,0.29,0.59,0.23,0.18,0.96,0.5,0.17,
SVC,3.0,56.0,5.0,35.0,99.0,0.6,0.38,0.08,0.38,-0.02,0.08,0.08,0.07,0.6,-0.0,-0.03,0.96,0.41,0.0,
SGDClassifier,6.0,54.0,7.0,32.0,99.0,0.61,0.38,0.13,0.46,0.2,0.16,0.11,0.13,0.59,0.03,-0.02,0.96,0.56,0.0,
KNeighborsClassifier,20.0,42.0,19.0,18.0,99.0,0.63,0.38,0.39,0.51,0.34,0.53,0.31,0.35,0.52,0.19,0.02,0.96,0.97,0.03,
MLPClassifier,31.0,26.0,35.0,7.0,99.0,0.58,0.38,0.67,0.47,0.22,0.82,0.57,0.42,0.46,0.25,-0.07,0.96,0.92,0.05,
