model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,24.0,137.0,11.0,86.0,258.0,0.62,0.43,0.14,0.69,0.61,0.22,0.07,0.2,0.55,0.13,0.09,0.98,0.57,0.03,
Tree_default,81.0,113.0,35.0,29.0,258.0,0.75,0.43,0.45,0.7,0.64,0.74,0.24,0.56,0.51,0.48,0.31,0.98,0.99,0.19,
Tree_ms50,47.0,121.0,27.0,63.0,258.0,0.65,0.43,0.29,0.64,0.49,0.43,0.18,0.34,0.53,0.23,0.14,0.98,0.86,0.05,
Tree_md3,33.0,135.0,13.0,77.0,258.0,0.65,0.43,0.18,0.72,0.68,0.3,0.09,0.27,0.55,0.19,0.14,0.98,0.68,0.05,
RandomForest,85.0,115.0,33.0,25.0,258.0,0.78,0.43,0.46,0.72,0.69,0.77,0.22,0.59,0.51,0.53,0.35,0.98,0.99,0.23,
AdaBoost,46.0,111.0,37.0,64.0,258.0,0.61,0.43,0.32,0.55,0.3,0.42,0.25,0.31,0.53,0.16,0.06,0.98,0.91,0.02,
AdaBoost_n_small,36.0,117.0,31.0,74.0,258.0,0.59,0.43,0.26,0.54,0.26,0.33,0.21,0.26,0.54,0.11,0.03,0.98,0.83,0.01,
GradientBoostingClassifier,81.0,113.0,35.0,29.0,258.0,0.75,0.43,0.45,0.7,0.64,0.74,0.24,0.56,0.51,0.48,0.31,0.98,0.99,0.19,
Stump,0.0,148.0,0.0,110.0,258.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.0,0.0,
LogisticRegression,15.0,143.0,5.0,95.0,258.0,0.61,0.43,0.08,0.75,0.76,0.14,0.03,0.13,0.56,0.09,0.07,0.98,0.39,0.03,
SVC,49.0,98.0,50.0,61.0,258.0,0.57,0.43,0.38,0.49,0.16,0.45,0.34,0.31,0.52,0.1,-0.01,0.98,0.96,0.01,
SGDClassifier,36.0,116.0,32.0,74.0,258.0,0.59,0.43,0.26,0.53,0.24,0.33,0.22,0.25,0.53,0.1,0.03,0.98,0.83,0.01,
MLPClassifier,0.0,148.0,0.0,110.0,258.0,0.57,0.43,0.0,0.0,-1.0,0.0,0.0,0.0,0.57,0.0,0.0,0.98,0.0,0.0,
