model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,100.0,53.0,100.0,5.0,258.0,0.59,0.41,0.78,0.5,0.23,0.95,0.65,0.49,0.45,0.32,0.0,0.97,0.77,0.1,
Tree_default,79.0,115.0,38.0,26.0,258.0,0.75,0.41,0.45,0.68,0.66,0.75,0.25,0.55,0.51,0.48,0.27,0.97,0.99,0.19,
Tree_ms50,87.0,84.0,69.0,18.0,258.0,0.66,0.41,0.6,0.56,0.37,0.83,0.45,0.5,0.48,0.38,0.12,0.97,0.97,0.11,
Tree_md3,102.0,51.0,102.0,3.0,258.0,0.59,0.41,0.79,0.5,0.23,0.97,0.67,0.49,0.45,0.33,0.0,0.97,0.74,0.12,
RandomForest,73.0,106.0,47.0,32.0,258.0,0.69,0.41,0.47,0.61,0.49,0.7,0.31,0.48,0.51,0.37,0.17,0.97,1.0,0.11,
AdaBoost,64.0,111.0,42.0,41.0,258.0,0.68,0.41,0.41,0.6,0.48,0.61,0.27,0.44,0.52,0.31,0.14,0.97,0.98,0.08,
AdaBoost_n_small,39.0,135.0,18.0,66.0,258.0,0.67,0.41,0.22,0.68,0.68,0.37,0.12,0.32,0.55,0.22,0.14,0.97,0.76,0.06,
GradientBoostingClassifier,84.0,116.0,37.0,21.0,258.0,0.78,0.41,0.47,0.69,0.71,0.8,0.24,0.59,0.51,0.53,0.31,0.97,1.0,0.23,
Stump,105.0,0.0,153.0,0.0,258.0,0.41,0.41,1.0,0.41,0.0,1.0,1.0,0.41,0.41,0.0,-0.31,0.97,0.0,0.0,
LogisticRegression,98.0,29.0,124.0,7.0,258.0,0.49,0.41,0.86,0.44,0.08,0.93,0.81,0.43,0.43,0.14,-0.17,0.97,0.58,0.02,
SVC,51.0,101.0,52.0,54.0,258.0,0.59,0.41,0.4,0.5,0.22,0.49,0.34,0.32,0.52,0.14,-0.01,0.97,0.97,0.02,
SGDClassifier,102.0,2.0,151.0,3.0,258.0,0.4,0.41,0.98,0.4,-0.01,0.97,0.99,0.4,0.41,-0.02,-0.32,0.97,0.14,0.0,
MLPClassifier,0.0,153.0,0.0,105.0,258.0,0.59,0.41,0.0,0.0,-1.0,0.0,0.0,0.0,0.59,0.0,0.0,0.97,0.0,0.0,
