model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,66.0,101.0,36.0,55.0,258.0,0.65,0.47,0.4,0.65,0.38,0.55,0.26,0.42,0.51,0.28,0.22,1.0,0.97,0.06,
Tree_default,86.0,104.0,33.0,35.0,258.0,0.74,0.47,0.46,0.72,0.54,0.71,0.24,0.56,0.5,0.47,0.39,1.0,1.0,0.17,
Tree_ms50,90.0,97.0,40.0,31.0,258.0,0.72,0.47,0.5,0.69,0.48,0.74,0.29,0.56,0.5,0.45,0.36,1.0,1.0,0.15,
Tree_md3,66.0,102.0,35.0,55.0,258.0,0.65,0.47,0.39,0.65,0.39,0.55,0.26,0.42,0.51,0.29,0.23,1.0,0.97,0.06,
RandomForest,86.0,106.0,31.0,35.0,258.0,0.74,0.47,0.45,0.74,0.57,0.71,0.23,0.57,0.5,0.48,0.4,1.0,0.99,0.18,
AdaBoost,39.0,108.0,29.0,82.0,258.0,0.57,0.47,0.26,0.57,0.22,0.32,0.21,0.26,0.51,0.11,0.07,1.0,0.83,0.01,
AdaBoost_n_small,31.0,121.0,16.0,90.0,258.0,0.59,0.47,0.18,0.66,0.41,0.26,0.12,0.23,0.52,0.13,0.11,1.0,0.68,0.02,
GradientBoostingClassifier,88.0,112.0,25.0,33.0,258.0,0.78,0.47,0.44,0.78,0.66,0.73,0.18,0.6,0.5,0.54,0.46,1.0,0.99,0.23,
Stump,102.0,49.0,88.0,19.0,258.0,0.59,0.47,0.74,0.54,0.14,0.84,0.64,0.49,0.49,0.21,0.1,1.0,0.83,0.04,
LogisticRegression,66.0,114.0,23.0,55.0,258.0,0.7,0.47,0.34,0.74,0.58,0.55,0.17,0.46,0.51,0.37,0.31,1.0,0.93,0.12,
SVC,30.0,114.0,23.0,91.0,258.0,0.56,0.47,0.21,0.57,0.21,0.25,0.17,0.21,0.52,0.08,0.05,1.0,0.73,0.01,
SGDClassifier,96.0,25.0,112.0,25.0,258.0,0.47,0.47,0.81,0.46,-0.02,0.79,0.82,0.41,0.48,-0.02,-0.12,1.0,0.71,0.0,
KNeighborsClassifier,72.0,103.0,34.0,49.0,258.0,0.68,0.47,0.41,0.68,0.45,0.6,0.25,0.46,0.51,0.34,0.28,1.0,0.98,0.09,
MLPClassifier,7.0,133.0,4.0,114.0,258.0,0.54,0.47,0.04,0.64,0.36,0.06,0.03,0.06,0.53,0.03,0.02,1.0,0.25,0.0,
