model,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
Tree_ms50_md3,15.0,53.0,6.0,25.0,99.0,0.69,0.4,0.21,0.71,0.77,0.38,0.1,0.33,0.56,0.24,0.15,0.97,0.75,0.08,
Tree_default,21.0,48.0,11.0,19.0,99.0,0.7,0.4,0.32,0.66,0.62,0.52,0.19,0.41,0.53,0.31,0.17,0.97,0.91,0.09,
Tree_ms50,27.0,43.0,16.0,13.0,99.0,0.71,0.4,0.43,0.63,0.55,0.68,0.27,0.48,0.51,0.38,0.19,0.97,0.99,0.12,
Tree_md3,15.0,54.0,5.0,25.0,99.0,0.7,0.4,0.2,0.75,0.86,0.38,0.08,0.33,0.56,0.25,0.17,0.97,0.73,0.09,
RandomForest,23.0,43.0,16.0,17.0,99.0,0.67,0.4,0.39,0.59,0.46,0.57,0.27,0.41,0.52,0.28,0.12,0.97,0.97,0.07,
AdaBoost,16.0,54.0,5.0,24.0,99.0,0.71,0.4,0.21,0.76,0.89,0.4,0.08,0.36,0.56,0.27,0.19,0.97,0.75,0.1,
AdaBoost_n_small,10.0,58.0,1.0,30.0,99.0,0.69,0.4,0.11,0.91,1.25,0.25,0.02,0.24,0.57,0.2,0.15,0.97,0.5,0.1,
GradientBoostingClassifier,25.0,47.0,12.0,15.0,99.0,0.73,0.4,0.37,0.68,0.67,0.62,0.2,0.48,0.52,0.39,0.22,0.97,0.95,0.13,
Stump,12.0,52.0,7.0,28.0,99.0,0.65,0.4,0.19,0.63,0.56,0.3,0.12,0.26,0.56,0.16,0.08,0.97,0.71,0.04,
LogisticRegression,26.0,45.0,14.0,14.0,99.0,0.72,0.4,0.4,0.65,0.61,0.65,0.24,0.48,0.52,0.38,0.2,0.97,0.97,0.12,
SVC,1.0,59.0,0.0,39.0,99.0,0.61,0.4,0.01,1.0,1.48,0.02,0.0,0.02,0.59,0.02,0.02,0.97,0.08,0.01,
SGDClassifier,15.0,46.0,13.0,25.0,99.0,0.62,0.4,0.28,0.54,0.33,0.38,0.22,0.28,0.54,0.14,0.03,0.97,0.86,0.02,
KNeighborsClassifier,17.0,39.0,20.0,23.0,99.0,0.57,0.4,0.37,0.46,0.14,0.42,0.34,0.28,0.52,0.08,-0.05,0.97,0.95,0.01,
MLPClassifier,12.0,52.0,7.0,28.0,99.0,0.65,0.4,0.19,0.63,0.56,0.3,0.12,0.26,0.56,0.16,0.08,0.97,0.71,0.04,
