repo_name,pre_intervention_commit
materialsproject/MPContribs,1630722b27937ef0dde9d531f8e14e471ada7191
RNAcentral/rnacentral-import-pipeline,f3dce69fc19e7dfab0bee092c0a05ee772793339
gabfl/vault,688fd288942e0467960505279d35edb2fce654b3
clchiou/garage,25339076bbc610e2c7ff220a618144d26e1506dd
akrherz/iembot,0a7678cf5de4cdcd4270eedadf3b8ec3792390de
bl4de/security-tools,33aec79d82d91efde0cae8670637dac918d44379
kianby/stacosys,dc776881e405693968e84651322d114242669100
alejandroautalan/pygubu,15e971da0675c5b2d67227301c697698505bc76e
SublimeText/PackageDev,767a6f1ba4ddb01b7291d70c30282d3eaeb56438
progettowinstonsmith/e-privacy-site,150b70433f285bab2d6147883ed10f1ea91bac48
coreruleset/coreruleset,a2f477d9d3171ac23cde3a3fc719356bc3db55db
AndreiDrang/python-rucaptcha,40005d238fe182315bc8c6ee504078fa630ee072
stanford-oval/storm,564a507c6523877f6956a6b6f136e07a2758c4d4
bioconda/bioconda-utils,5910a1009b8b783eb4a3e1a9b15ab71b9794899a
brechtm/rinohtype,3e1944a744eb3e79710a401a5ea1f4bf66db6975
alchemistry/alchemlyb,30ecce080045dcd6e77f8888edce794990e0148b
Hipo/university-domains-list,681466cbbec6d94c0557db904c35a0229400c4a9
sukeesh/Jarvis,31ccbb8abb69c61b7333a014b743048e256bbd96
niklasf/python-chess,5826ef5dd1c463654d2479408a7ddf56a91603d6
pmbarrett314/curses-menu,bc72da6f147907db487f06fa5e64d4b29f96766a
mralext20/alex-bot,0fb79ff5988adb27c0c5342a2df4002bdc00b0dd
TheReverend403/cappuccino,c8f599044c6bc88b988e99eb0a226ef75de01987
cmu-delphi/delphi-epidata/,32bc5ff1b09a26a4ad6576c2fb1ec7882ca6c115
pallets/itsdangerous,62fde54d4ff717fa1c4af688dbebf97845fed495
