LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_max,McCabe_sum,path
34,12,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,mpcontribs-portal\mpcontribs\users\als_beamline\scripts\__main__.py
388,205,312,21,20,0,56,12,51,34,65,63,99,332.3132424492002,591.7507124264918,7.647058823529412,4525.15250679082,251.39736148837886,0.19725023747549725,33.0,79.0,mpcontribs-api\mpcontribs\api\projects\document.py
166,107,127,20,19,0,20,12,53,35,67,65,102,346.5993341005035,614.2815169289023,7.584905660377358,4659.267354819221,258.8481863788456,0.20476050564296744,24.0,69.0,mpcontribs-io\mpcontribs\io\archie\mpfile.py
640,319,554,20,22,0,64,10,114,100,172,124,272,812.1687425636542,1891.5413964252302,7.543859649122807,14269.522815137703,792.7512675076501,0.6305137988084101,31.0,110.0,mpcontribs-api\mpcontribs\api\core.py
282,162,208,48,48,5,21,12,42,34,60,54,94,269.4968817653618,540.9594252033661,8.571428571428571,4636.795073171709,257.5997262873172,0.18031980840112202,14.0,25.0,mpcontribs-portal\mpcontribs\users\redox_thermo_csp\pre_submission.py
92,61,67,8,6,0,19,5,10,6,11,15,17,44.82892142331043,66.41714012534482,2.75,182.64713534469826,10.147063074705459,0.02213904670844827,5.0,15.0,mpcontribs-api\mpcontribs\api\attachments\document.py
327,207,257,20,17,0,53,13,67,41,74,80,115,454.5336920965049,727.0217309120466,7.17910447761194,5219.364963711856,289.9647202062142,0.24234057697068218,9.0,53.0,mpcontribs-api\mpcontribs\api\contributions\document.py
304,203,236,6,14,15,39,12,52,35,65,64,100,339.4424153519907,600.0,7.5,4500.0,250.0,0.2,17.0,76.0,mpcontribs-io\mpcontribs\io\core\mpfile.py
15,12,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,mpcontribs-api\gunicorn.conf.py
206,156,166,6,10,0,30,11,44,30,51,55,81,278.26873902505133,468.29013679549746,6.375,2985.3496220712964,165.8527567817387,0.15609671226516583,18.0,68.0,mpcontribs-io\mpcontribs\io\core\components\tdata.py
273,157,217,22,21,0,35,11,83,52,97,94,149,567.182020606805,976.633738899968,6.427710843373494,6277.519273531721,348.7510707517623,0.3255445796333227,49.0,49.0,mpcontribs-portal\mpcontribs\users\dilute_solute_diffusion\pre_submission.py
293,196,232,5,3,0,58,9,41,27,46,50,73,248.18895720232226,412.0015018535549,5.048780487804878,2080.1051435045333,115.56139686136297,0.13733383395118495,28.0,52.0,mpcontribs-api\mpcontribs\api\notebooks\views.py
15,12,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,mpcontribs-portal\gunicorn.conf.py
78,44,66,3,3,0,9,6,19,11,22,25,33,96.22039775975506,153.24725426256592,3.473684210526316,532.332567438387,29.57403152435483,0.05108241808752197,11.0,11.0,mpcontribs-portal\mpcontribs\users\qmcdb\main\views.py
