LOC,LLOC,SLOC,N1,N2,McCabe_max,McCabe_sum,path
189,29,66,1,2,,,docs\conf.py
268,131,196,54,105,42.0,42.0,src\alchemlyb\visualisation\dF_state.py
845,353,472,72,141,16.0,89.0,src\alchemlyb\workflows\abfe.py
568,191,221,52,100,20.0,73.0,src\alchemlyb\parsing\gmx.py
388,138,184,49,97,24.0,45.0,src\alchemlyb\parsing\namd.py
491,263,306,55,96,22.0,78.0,src\alchemlyb\parsing\amber.py
97,35,35,14,28,12.0,16.0,src\alchemlyb\parsing\util.py
227,110,143,46,88,28.0,28.0,src\alchemlyb\visualisation\ti_dhdl.py
