LOC,LLOC,SLOC,Comments,Single comments,Multi,Blank,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,McCabe_max,McCabe_sum,path
120,67,76,9,5,15,24,10,31,21,39,41,60,186.7993665708668,321.453120277085,6.290322580645161,2022.0438210977927,112.33576783876626,0.10715104009236168,13,29,alexBot\disabled\bots.py
385,257,329,23,21,0,35,12,76,58,102,88,160,517.8620410303664,1033.5090589819677,8.052631578947368,8322.46768548637,462.3593158603539,0.3445030196606559,26,90,alexBot\cogs\reminders.py
227,154,192,7,7,0,28,12,45,27,52,57,79,290.15293934348927,460.7983111190146,6.933333333333334,3194.868290425168,177.49268280139825,0.15359943703967155,23,42,alexBot\cogs\fun.py
139,90,101,5,5,0,33,2,4,2,4,6,6,10.0,15.509775004326936,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,4,17,bot.py
139,106,112,1,6,0,21,6,17,11,22,23,33,84.99664330558272,149.27754454988144,3.8823529411764706,579.5481141348338,32.19711745193521,0.04975918151662715,9,33,alexBot\cogs\utils.py
153,94,117,3,0,6,30,8,23,19,35,31,54,128.0419249893113,267.5266007608913,6.086956521739131,1628.422787240208,90.467932624456,0.08917553358696377,16,32,alexBot\cogs\flight.py
280,165,233,20,15,0,32,12,85,56,105,97,161,587.8177795803585,1062.5859675921276,7.411764705882353,7875.637171565182,437.5353984202879,0.35419532253070923,22,68,alexBot\cogs\mudae.py
177,124,152,7,8,0,17,5,42,31,55,47,86,238.08697223114476,477.69464124427685,3.2738095238095237,1563.8812659782873,86.88229255434929,0.15923154708142562,14,52,alexBot\cogs\configs.py
118,75,88,6,7,0,23,5,14,10,19,19,29,64.91260938324326,123.18989788986397,3.392857142857143,417.96572498346706,23.22031805463706,0.04106329929662132,22,36,alexBot\cogs\errors.py
270,194,232,19,8,0,30,12,67,55,94,79,149,449.4475257693246,939.2633314783884,8.417910447761194,7906.634611250912,439.25747840282844,0.3130877771594628,22,70,alexBot\cogs\voiceStats.py
364,234,302,24,17,0,45,9,61,54,100,70,154,390.3043026043169,943.9095846095249,7.377049180327869,6963.267427447315,386.8481904137397,0.314636528203175,43,91,alexBot\cogs\smartHome.py
282,197,227,18,15,0,40,10,62,47,91,72,138,402.37945219285996,851.4496501990391,7.338709677419355,6248.541787751013,347.1412104306118,0.2838165500663464,18,79,alexBot\cogs\voiceTTS.py
396,277,349,13,13,0,34,11,133,112,210,144,322,976.4063117266685,2308.715850464425,8.68421052631579,20049.374490875267,1113.8541383819593,0.7695719501548083,31,143,alexBot\cogs\voiceCommands.py
47,33,30,3,3,4,10,3,8,6,12,11,18,28.75488750216347,62.26976913547136,2.25,140.10698055481055,7.78372114193392,0.020756589711823786,8,16,alexBot\cogs\voicePrivVC.py
185,127,156,4,4,0,25,10,35,32,54,45,86,212.74418654194744,472.299366284352,7.714285714285714,3643.4522541935726,202.41401412186514,0.157433122094784,26,44,alexBot\cogs\sugery.py
