LOC,LLOC,SLOC,Multi,N1,N2,McCabe_max,McCabe_sum,path
81,52,60,0,5,7,6,21,plugins\create_package.py
119,81,75,8,11,21,5,31,plugins\new_resource_file\__init__.py
404,115,148,151,8,16,4,26,plugins\lib\fileconv\dumpers.py
439,174,352,0,42,71,9,64,plugins\syntax_dev\completions.py
428,197,208,102,55,104,10,88,plugins\lib\fileconv\loaders.py
286,146,221,15,30,49,8,61,plugins\command_completions\__init__.py
